,routeID,MAE,MSE,RMSE,R2,range,running_time
0,1,22.28242028380634,22.28242028380634,33.616588793965484,0.6221511898055005,29948,6.889797210693359
1,102,16.640386217012875,16.640386217012875,27.787550457197778,0.817541242606925,39956,17.751336097717285
2,104,18.825854435686733,18.825854435686733,30.05950348838655,0.7032936071928813,19875,4.165194988250732
3,11,25.095959605489764,25.095959605489764,50.21962360310625,0.6590509629967485,44791,24.074608325958252
4,111,18.318390336165187,18.318390336165187,33.9117041644717,0.5327177951505255,30380,7.639578104019165
5,114,21.530871361132967,21.530871361132967,34.72850258607884,0.53583860905394,16944,3.178628921508789
6,116,28.841960093896713,28.841960093896713,46.93733645408265,0.6854614213760417,2839,0.6053760051727295
7,118,32.15585342832785,32.15585342832785,48.02037021119215,0.6204547035559711,1302,0.14036297798156738
8,120,18.933162662822976,18.933162662822976,30.851765156611688,0.6535801194362766,18581,4.306434154510498
9,122,21.60850606013113,21.60850606013113,33.938509773432386,0.7048999630155123,36458,14.981157064437866
10,123,23.60465648827864,23.60465648827864,38.519826702483364,0.7081026847485405,33535,12.866969108581543
11,13,19.99825295850067,19.99825295850067,32.06367926838289,0.6664706121274571,69165,79.20384502410889
12,130,14.542241410877327,14.542241410877327,20.91653105025558,0.5970435247420034,29692,9.825803995132446
13,14,19.562875156307573,19.562875156307573,31.42013618195755,0.6406126645528413,54707,38.613872051239014
14,140,23.112590894797865,23.112590894797865,35.88112796059279,0.6517704420060126,32304,10.42153525352478
15,142,27.023175978756232,27.023175978756232,51.8564426745053,0.8135532651405857,8845,1.7622039318084717
16,145,22.56712175079772,22.56712175079772,36.641518258812674,0.6473984387364654,54254,45.17231202125549
17,14C,14.984448484848485,14.984448484848485,24.906567969466945,0.7210292819539496,1831,0.3454139232635498
18,15,23.53492541245639,23.53492541245639,41.75554111313155,0.6901979041512417,57712,48.75844097137451
19,150,19.273711908790588,19.273711908790588,33.71726658996237,0.6635664958960574,26264,7.566020727157593
20,151,22.13404100706556,22.13404100706556,33.37962534600885,0.6739840546953006,37268,16.991713047027588
21,15A,22.511124170076624,22.511124170076624,34.741526449780544,0.690623952148934,31653,9.811758756637573
22,15B,22.503252519433467,22.503252519433467,36.54141859704303,0.6143948516344544,38434,15.596395015716553
23,15D,32.82029136316336,32.82029136316336,52.15159923539807,0.5586250921325129,3201,0.5805728435516357
24,16,22.920231542126256,22.920231542126256,35.37175526793767,0.6389599914227764,57072,47.60758566856384
25,161,33.10716281310212,33.10716281310212,101.36407949715269,-0.020641759073812826,5190,0.682636022567749
26,16D,26.7616625653986,26.7616625653986,43.675563899015266,0.4829564069645561,3580,0.4161410331726074
27,17,18.137494359801234,18.137494359801234,28.817166724592447,0.6920383441860953,49319,40.91169476509094
28,17A,17.09021919069253,17.09021919069253,26.679562944114505,0.733419094233259,45288,24.98150396347046
29,18,19.70296032408031,19.70296032408031,30.310361403817552,0.47966568273301513,45954,24.549822092056274
30,184,12.301725125720646,12.301725125720646,19.474536973973407,0.7989955356873601,31615,10.027070999145508
31,185,17.08148446897333,17.08148446897333,29.021308315766166,0.7855577407301588,15702,2.8636841773986816
32,220,14.537993558165972,14.537993558165972,24.280929186549365,0.7177975658716025,43983,36.11126399040222
33,236,18.360175054704595,18.360175054704595,36.713023568787726,0.8406928701598179,3045,0.3107917308807373
34,238,17.913984844636357,17.913984844636357,33.36673299732572,0.7277251870823611,13122,1.6029670238494873
35,239,31.928798427125635,31.928798427125635,77.24116022391857,0.574688012913535,17236,3.27337384223938
36,25,19.578548181075003,19.578548181075003,33.036604866683966,0.7253761923254866,27960,7.232355833053589
37,25A,20.904855272168493,20.904855272168493,33.70676900821924,0.763722863242566,28509,8.431782007217407
38,25B,23.251591924931414,23.251591924931414,38.97886003839775,0.7066637299267831,28409,8.45054578781128
39,25D,35.70350103199175,35.70350103199175,59.64237127853349,0.5832351439926724,3227,0.4291987419128418
40,25X,32.648847127892246,32.648847127892246,53.33309408739029,0.6613011589987832,4135,1.0353970527648926
41,26,24.011122783296063,24.011122783296063,40.15954923739667,0.6915319265317871,18313,3.5917229652404785
42,27,19.321212975511706,19.321212975511706,31.22978530751548,0.647189820092783,69570,76.18446326255798
43,270,29.228715033990863,29.228715033990863,68.81949984320623,0.6762527996740293,9970,0.9843120574951172
44,27A,13.844990530782695,13.844990530782695,20.930121828093583,0.6827817515887185,28203,8.390446186065674
45,27B,18.276061295274474,18.276061295274474,29.786326117109176,0.8359648589419983,33743,14.006906270980835
46,27X,24.284623438027694,24.284623438027694,41.156074735922786,0.7902803917097093,3289,0.7503547668457031
47,29A,16.89729877448484,16.89729877448484,24.49788491226487,0.45052311076182416,32727,10.983464002609253
48,31,14.887969566606799,14.887969566606799,22.20057735496347,0.5150143180727401,39240,17.688536882400513
49,31A,13.422622498570611,13.422622498570611,20.685519258521527,0.5608335019584761,38866,23.572822093963623
50,31B,16.0472551250838,16.0472551250838,25.450800198083943,0.5049046180617645,10496,4.359556198120117
51,31D,26.322536687631025,26.322536687631025,61.353054450095584,0.4658404795968323,1588,0.2667057514190674
52,32,15.092510707935993,15.092510707935993,23.127877937817882,0.4265781556059849,41246,17.64397382736206
53,32X,27.844681761593527,27.844681761593527,49.07722155785096,0.807526273866867,3568,0.9867897033691406
54,33,14.710636085077503,14.710636085077503,24.10625966507762,0.7321928518100559,79514,110.28281021118164
55,33A,12.18674773402811,12.18674773402811,21.205570424366044,0.7682293402727585,25953,12.763619899749756
56,33B,24.178795451835956,24.178795451835956,57.49325880576121,0.6946293951488665,18640,4.058571815490723
57,33D,27.873655913978496,27.873655913978496,52.17898142116744,0.9702313021647776,927,0.13394379615783691
58,33E,18.69871794871795,18.69871794871795,35.92842705476223,0.4803034102983099,1430,0.1887192726135254
59,33X,19.204879493464055,19.204879493464055,39.13951921575065,0.9532992910117929,7477,2.885490894317627
60,38,22.608903115309882,22.608903115309882,39.368805096516375,0.7393813540350838,43321,24.469763040542603
61,38A,23.288282412085458,23.288282412085458,42.677230548048,0.747524368689555,34871,14.499872207641602
62,38B,20.44419548153116,20.44419548153116,34.70175655345146,0.7845845982439914,6390,1.4513211250305176
63,38D,25.837308533916843,25.837308533916843,38.20180843096386,0.9212219381515604,1521,0.20999813079833984
64,39,18.482157187926926,18.482157187926926,29.022031308011083,0.6959880779349381,56350,41.3170371055603
65,39A,20.04179271320286,20.04179271320286,31.72640083305123,0.7622416547741222,54088,38.91133904457092
66,39X,46.151450334567656,46.151450334567656,73.56509375080545,0.6799688238721997,2442,0.3014562129974365
67,4,22.236462148011363,22.236462148011363,34.24473997624847,0.690301195470219,42804,19.69223690032959
68,40,18.551927739523506,18.551927739523506,28.68715305183845,0.7465601742393222,63346,66.74057602882385
69,40B,18.252870539798717,18.252870539798717,28.210281053428893,0.7432993196269257,14572,4.41573691368103
70,40D,16.46645207079637,16.46645207079637,25.447254544459955,0.7024675450042384,33392,11.796987771987915
71,40E,12.007166222290149,12.007166222290149,23.853767386530446,0.8351965171377157,18692,3.3684611320495605
72,41,19.756706711995005,19.756706711995005,30.25348521954021,0.7230338637381251,42474,24.05166006088257
73,41A,21.02536231884058,21.02536231884058,31.071871324409223,0.7437906051258054,2069,0.32940101623535156
74,41B,19.07142947713881,19.07142947713881,28.980171208123615,0.7125755480124537,14896,4.980643272399902
