,routeID,range,RF_RMSE,RF_R2,XGB_RMSE,XGB_R2,LGBM_RMSE,LGBM_R2,running_time
0,1,29948,34.42807884598359,0.6106796871087241,33.03089323782285,0.6416378591023821,32.59280863257556,0.6510806463176654,91.8365089893341
1,102,40000,26.767571558270014,0.8097572803398866,25.884342872823325,0.8221047348146526,25.39123720830503,0.8288181062274154,100.25145697593689
2,104,19876,30.53052907150657,0.7116700364414861,29.874288676093805,0.7239318767239289,28.953156261909545,0.7406937737201673,26.979863166809082
3,11,44782,54.5553739632956,0.5444678143353804,51.8002309442157,0.5893163764026004,53.644520964978426,0.5595519046695121,132.2306911945343
4,111,30375,33.56475761998256,0.538002401396728,32.87353579439909,0.5568349283816725,32.52634769278435,0.5661463179120081,38.90735602378845
5,114,16938,34.165590808668306,0.5781518958408225,33.11270183411772,0.6037516485972193,33.06482739416905,0.6048966143228905,19.55786895751953
6,116,2838,61.24286511092786,0.5582520367403849,65.0070512191545,0.5022806918462142,64.68489146204173,0.5072016292498314,2.792181968688965
7,118,1300,58.024372249580765,0.5581002388793712,62.15746985531237,0.49290477443901104,73.93610584771966,0.2825097375250052,1.3687608242034912
8,120,18612,29.80696698758471,0.7028416549277821,29.28884592411021,0.7130826066131288,32.40357820561625,0.648813107165066,47.875362157821655
9,122,36496,34.449174229408875,0.6969794050057694,33.31429589441981,0.7166156959257372,37.09124594060399,0.6487168174907186,145.22590589523315
10,123,33515,39.24754640379225,0.7039711235428403,37.76579849276115,0.7259016654675681,41.82922439338935,0.6637450569120198,144.9871699810028
11,13,69177,31.717563082097286,0.6722078817752082,31.68612502361691,0.6728573667679625,40.569999019118946,0.46369866684161876,315.9256360530853
12,130,29568,21.313300338164062,0.5658481636362042,20.59880302293246,0.5944688661947428,22.924478609545258,0.49772777092247544,131.41123819351196
13,14,54675,30.112155019829743,0.6616167528747441,28.915202270352903,0.6879834375306668,32.92967648378525,0.5953308412320113,217.8511459827423
14,140,32264,35.95967885180266,0.6823680752570929,34.75857035195044,0.7032324933996189,37.421289826549845,0.6560224947090614,133.8148970603943
15,142,8843,46.37479069787628,0.8315888075615118,44.613168479814526,0.8441405416204028,56.369933167205026,0.7511703861152281,15.826896905899048
16,145,54209,37.16519088619433,0.640520505061271,36.02385924422729,0.6622604958546352,42.09325626435807,0.5388667543520912,321.61961126327515
17,14C,1834,26.126736985586767,0.6906695228793623,26.057608509990622,0.6923042662532535,33.86099971773614,0.4804206083191195,4.352063894271851
18,15,57569,41.5913347931513,0.6710940830042065,39.97540817972693,0.6961552173215626,45.85729676299285,0.6001631019106908,285.53111815452576
19,150,26262,34.83284649874714,0.6610061537107772,33.446987296654804,0.6874439619313517,35.19815013244077,0.6538585875862091,80.09468603134155
20,151,37154,32.72737622895681,0.6805651206600027,31.149476471454108,0.7106246984511375,37.30190944848002,0.5850248561538445,117.33973598480225
21,15A,31641,34.96942657458717,0.6784968528604245,33.27354981902661,0.7089239453472477,37.23593020222644,0.635470548644129,96.94383406639099
22,15B,38416,36.724774505880575,0.6268388324661682,34.97756821371793,0.6615009984880966,37.995321559848314,0.6005720823448216,125.4432361125946
23,15D,3194,42.84283351662277,0.6486272297651718,43.13906376877765,0.6437514041738746,49.12003479980036,0.5381201014155288,4.010869026184082
24,16,57151,35.7224920367955,0.6452283462524614,34.89793104097291,0.66141729017914,40.890273939861544,0.5351578980019775,258.6347358226776
25,161,5188,42.840794173364976,0.18132598042632664,44.67261836149434,0.10981802006336672,35.74585858887605,0.4300359705686516,5.695757865905762
26,16D,3579,44.47493711580841,0.5358610140648539,44.76239764323779,0.5298417669601876,47.36835356150743,0.47350537349267363,3.219310760498047
27,17,49310,29.247684516371837,0.660091385845444,27.918168233433793,0.6902915663527532,32.803867320186534,0.5724082816352783,116.95077395439148
28,17A,45282,26.298872442488463,0.7312943883749506,25.249726535918366,0.7523058002357955,31.26305372221359,0.6202784256110079,148.1093728542328
29,18,45959,31.419971525211352,0.424810671039206,29.941113194079026,0.47768183197419634,34.879538201501546,0.29117227079446384,150.79634809494019
30,184,31610,20.58149900941943,0.7901179702980355,19.914952961644257,0.8034921878397604,23.82157151783806,0.718834475617035,58.50058698654175
31,185,15696,30.548811877709646,0.7745281510466746,31.225988963843953,0.7644212669268977,35.009385250182106,0.7038766541946266,19.5295889377594
32,220,43969,24.77704854230493,0.6981112537383436,24.10176349946935,0.7143426377656041,28.7560887541238,0.5933625145231156,85.51631903648376
33,236,3046,36.65230362152764,0.8262474790684398,36.53820106549181,0.827327615658993,36.58628284309727,0.8268728665124675,3.5230939388275146
34,238,13081,32.30141164721272,0.6876817514516673,32.74979025835901,0.6789509408286508,34.30149520693647,0.6478072120137592,30.17816972732544
35,239,17227,77.11461792675988,0.5526534595866387,76.26773997481841,0.5624250869466967,84.72591021815376,0.4599883277571538,20.89387798309326
36,25,27955,35.295052898060376,0.6855794292330399,33.854548666669224,0.7107207157779635,37.380700704897905,0.6473221752277001,74.39011788368225
37,25A,28502,34.41168108473455,0.7630777781261788,32.7445031374829,0.7854784986067367,38.62783351601908,0.7014653676000377,100.03686809539795
38,25B,28409,38.49840070732081,0.7070341426882414,37.09518600817232,0.7280013558441536,41.381147386976295,0.661517134035282,86.42759966850281
39,25D,3218,56.978466114734076,0.6237352509067859,58.305435484326026,0.6060055426379364,61.48189529621218,0.5619067927646089,7.0909810066223145
40,25X,4095,55.20571919972151,0.6490257213365702,55.653266150341594,0.6433120316793128,62.40938123734005,0.551454091548682,14.689081907272339
41,26,18313,40.97070829017167,0.7005237025994507,39.46733729950528,0.7220983241750614,42.444786911486155,0.6785864169111453,34.598525047302246
42,27,69537,31.672610233718242,0.6297281140609536,30.532026871882433,0.6559161433700326,35.467548508723254,0.5356821623682575,358.35295510292053
43,270,9971,63.93081193725773,0.6809684487721719,64.8459722700288,0.671769293303592,65.20806634983472,0.6680934375334987,18.262441873550415
44,27A,28201,22.05015178736876,0.6597345125007569,21.005143523154295,0.6912222192571433,23.272877330881155,0.6209514011042272,83.27067184448242
45,27B,33742,31.398471040904845,0.827343040347971,30.01129760748346,0.842261889137118,35.31409476167906,0.7815946642174568,107.68699884414673
46,27X,3284,42.913801931250994,0.784774945726443,43.28880750606834,0.7809969890117354,63.61149695469382,0.5270991736174128,4.904258966445923
47,29A,32779,23.97628104954011,0.4834920162809998,23.05873227485746,0.5222680896364824,25.738716962916335,0.4047667464931365,154.5429220199585
48,31,39234,24.224366557016296,0.3757420968005031,22.498865145320018,0.461506561870922,25.248216860313097,0.3218580452422025,168.08907318115234
49,31A,38843,22.59694165518982,0.46246035926592455,21.051374118053246,0.5334780663013299,23.723622871276934,0.40752068683306186,86.63817381858826
50,31B,10436,27.55990017430954,0.4156424678192463,24.999274188607586,0.519184825294865,26.965740704419066,0.4405670087624983,19.049665927886963
51,31D,1588,50.13064509427476,0.6380171563863025,54.62427134218692,0.5702135548065429,83.4519932682031,-0.003124481397980272,1.9932379722595215
52,32,41247,23.944630094265875,0.38913271288826634,23.163744026942567,0.4283264245801942,25.406726494215405,0.31225407022085483,104.71534204483032
